id,Lat,Long,InjTopDepth,InjBotDepth,TotalCumVolume,AvgPressurePSI,WellStatus,WellType,QuakeDepth,Maxmagnitude,CountQuake,Avgmagnitude
1795,36.7,-97.9,5978,5992,7233866,9.925170068,AC,2DNC,5.7208,2.5,5,2.18
1799,34.5,-97.7,1270,1626,814561,88.0952381,TM,2R,5,2.6,4,2.225
1800,34.6,-97.6,3078,5691,3848739,825.7291667,AC,2DCm,5,1.6,1,1.6
1801,35.91,-96.8,986,1650,120730,105,AC,2DNC,4.223,1.8,1,1.8
1802,34.51,-97.7,NA,NA,64617,NA,AC,2DNC,5,2.3,1,2.3
1803,36.32,-97.4,1935,1950,72942,35.71428571,AC,2DNC,5.82175,2.4,4,2.225
1804,33.97,-97.3,4720,4820,1600,NA,AC,2RSI,6.68,2.5,2,1.7
1805,33.98,-97.3,7596,7616,600,NA,AC,2RSI,2.7925,1,2,0.95
1807,34.39,-97.6,2412.875,2637.5,15364125,741.9059844,AC,2RIn,5,2.6,1,2.6
1811,35.59,-97,1500,1512,NA,NA,AC,2DNC,5.711,1.8,1,1.8
1815,36.26,-97.6,6910,8141,963876,39.49333333,AC,2DNC,4.787285714,2.7,7,2.057142857
1820,34.25,-97.4,892,919.25,566559,255.6931818,AC,2RIn,6.855,1.5,1,1.5
1823,34.08,-97.4,6936,6951,2567889,1219.976786,AC,2RIn,5,1.2,1,1.2
1824,34.07,-97.4,1700,3000,2074675,1302.866071,AC,2DCm,7.101,2.4,2,2.1
1828,35.97,-97,4095,4987.5,10197204,433.9974014,AC,2DCm,4.464333333,2.6,3,2.3
1830,36.35,-96.8,3976,5251,10595645,317.1111111,AC,2RIn,4.645583333,3,12,2.35
1834,36.8,-98.6,6584,7293.5,23138345,229.4133929,AC,2DNC,6.9994,2.3,5,2.08
1841,36.37,-97.4,NA,NA,136949,125,AC,2DNC,5.7166,2.6,5,2.32
1845,36.03,-97,2753.666667,3446,3465041,201.8167989,AC,2DNC,3.83,2.7,2,2.55
1849,35.3,-96,2959,2971,91200,NA,AC,2RIn,5,2.7,1,2.7
1853,36.09,-97.3,5810,7368,492148,18.1371,AC,2DNC,3.811333333,2,3,1.766666667
1855,36.97,-97.9,5628,6507,5686803,41.76105442,AC,2DNC,4.079,2.9,5,2.5
1856,36.71,-97.8,6254,7506,1456989,6.25,AC,2DNC,5.657,2.4,4,2.225
1858,36.01,-97,4500,5300,2154003,11.66666667,PA,2D,5,2,1,2
1864,36.55,-97,4627,5882,2283103,NA,AC,2DNC,6.056,2.5,2,2.3
1865,36.27,-96.8,3109,3124,57500,90,AC,2RIn,6.341,2,1,2
1870,36.61,-98.3,7356,8829,23077581,88.74828283,AC,2DNC,4.89125,3,4,2.425
1871,36.3,-97,NA,NA,NA,NA,NA,NA,5,3.2,1,3.2
1873,36.79,-98.6,6200,6400,16720,250,AC,2DCm,5,2.3,3,2.033333333
1877,36.17,-97.2,5768,7445,3164506,609.1,AC,2DNC,4.713666667,3,3,2.666666667
1878,35.85,-97.1,4871.75,5377,10016589,350.2244447,AC,2RIn,4.896,2.3,1,2.3
1879,36.36,-97.2,5326,6700,11874928,34.93181818,AC,2DNC,8.549333333,2.6,3,2.233333333
1883,36.38,-97.4,NA,NA,288836,492.7670068,AC,2RIn,5.5668,2.6,5,2.22
1884,36.36,-97.6,2343,2373,5656381,36.46031746,AC,2DNC,6.136,1.8,1,1.8
1889,36.23,-96.7,2015.75,2370.75,599517,12.5,AC,2DNC,4.5645,2.9,2,2.2
